year,st_abr,st_name,st_code,st_south,st_pop,st_uemp,inc_icpsr,inc_pos,inc_spend,ch_qual,ch_spend,ch_wealthy,inc_2p_share,st_id,inc_tenure,inc_rep
1982,NM,New Mexico,66,0,1363823,9,14510,0.2930000126361847,1692204,3,1586245,0,0.4622613191604614,43.599998474121094,6,1
1982,NV,Nevada,65,0,881537,9.899999618530273,1482,-0.17399999499320984,1625042,1,1352547,1,0.4879688024520874,-20.399999618530273,24,0
1982,NY,New York,13,0,17589738,8.5,14508,-0.3179999887943268,2708660,1,117875,0,0.655752420425415,11.899999618530273,6,0
1982,OH,Ohio,24,0,10757087,12.699999809265137,14073,-0.5040000081062317,2815967,1,1025595,0,0.5793507099151611,13.399999618530273,6,0
1982,PA,Pennsylvania,14,0,11845146,11.300000190734863,13050,0.02500000037252903,2607983,2,424507,0,0.6019124984741211,7.300000190734863,6,1
1982,RI,Rhode Island,5,0,954170,9.399999618530273,14500,0.008999999612569809,1019020,3,438630,0,0.5119786262512207,-14.300000190734863,6,1
1982,TN,Tennessee,54,1,4646041,11.699999809265137,14509,-0.29899999499320984,2088483,4,1639858,0,0.6192576885223389,23.200000762939453,6,0
1982,TX,Texas,49,1,15331415,6.900000095367432,660,-0.10499999672174454,4996104,4,4285377,1,0.5912954807281494,22.200000762939453,12,0
1982,UT,Utah,67,0,1558314,8.300000190734863,14503,0.33799999952316284,4685836,2,1703170,0,0.5849542617797852,37.5,6,1
1982,VA,Virginia,40,1,5492783,7.400000095367432,10802,0.16500000655651093,NA,NA,NA,NA,NA,22.899999618530273,12,0
1982,VT,Vermont,6,0,519109,7.199999809265137,10562,0.008999999612569809,397015,3,282600,0,0.515599250793457,26.399999618530273,11,1
1982,WA,Washington,73,0,4276552,11.800000190734863,4851,-0.32899999618530273,1353408,0,241695,0,0.7395832538604736,2.5999999046325684,30,0
1982,WI,Wisconsin,25,0,4728870,10.300000190734863,7638,-0.38100001215934753,0,1,119924,0,0.6509122252464294,27.399999618530273,25,0
1982,WV,West Virginia,56,1,1949604,14.300000190734863,1366,-0.23499999940395355,1762326,4,1098218,1,0.6900442242622375,15.800000190734863,24,0
1982,WY,Wyoming,68,0,506400,6.099999904632568,14511,0.5600000023841858,1102046,1,389511,0,0.566567599773407,56.599998474121094,6,1
1984,AK,Alaska,81,0,513702,9.899999618530273,12109,0.19200000166893005,1195616,3,92001,0,0.7141593098640442,NA,14,1
1984,AL,Alabama,41,1,3951820,10.199999809265137,14705,-0.03500000014901161,1917493,4,574382,0,0.6331918835639954,8.699999809265137,6,0
1984,AR,Arkansas,42,1,2319768,8.300000190734863,10791,-0.24699999392032623,1761115,4,1072879,0,0.5734774470329285,16.899999618530273,6,0
1984,CO,Colorado,62,0,3169992,5.400000095367432,14002,0.49399998784065247,2993045,3,840595,0,0.6498245000839233,7.099999904632568,6,1
1984,DE,Delaware,11,0,611565,6.199999809265137,14101,-0.3109999895095825,1439310,1,816484,0,0.6011052131652832,22.100000381469727,12,0
1984,GA,Georgia,44,1,5834954,6.099999904632568,14108,-0.10199999809265137,729843,0,0,0,0.7994433045387268,14.5,12,0
1984,IA,Iowa,31,0,2858618,7.300000190734863,14707,0.28200000524520874,2883465,4,2843695,0,0.44048768281936646,12.199999809265137,6,1
1984,ID,Idaho,63,0,990839,7.400000095367432,11029,0.47099998593330383,958225,0,31001,0,0.7352175712585449,22.899999618530273,12,1
1984,IL,Illinois,21,0,11412132,9.100000381469727,11205,0.03400000184774399,5296561,4,4581252,0,0.4905146062374115,15.600000381469727,18,1
1984,KS,Kansas,32,0,2424086,5,14708,0.13899999856948853,360964,0,30444,0,0.7815793752670288,24,6,1
1984,KY,Kentucky,51,0,3695453,9.100000381469727,14106,-0.2540000081062317,2380239,2,1776128,0,0.4979493319988251,16.100000381469727,12,0
1984,LA,Louisiana,45,1,4400477,9.899999618530273,14107,-0.1340000033378601,1179239,0,0,NA,0.9064091444015503,21.399999618530273,12,0
1984,MA,Massachusetts,3,0,5840773,4.800000190734863,14279,-0.41100001335144043,NA,NA,NA,NA,NA,-2.4000000953674316,6,0
1984,ME,Maine,2,0,1155635,6,14010,0.04699999839067459,1022134,1,428990,0,0.7392768263816833,27.5,6,1
1984,MI,Michigan,23,0,9049452,11.399999618530273,14709,-0.36800000071525574,3504962,0,1749786,0,0.5232890844345093,7.900000095367432,6,0
1984,MN,Minnesota,33,0,4157706,6.300000190734863,14701,0.19900000095367432,6022365,3,1589738,0,0.5845398902893066,16.799999237060547,6,1
1984,MS,Mississippi,46,1,2578051,10.800000190734863,14009,0.25200000405311584,2791749,3,738739,0,0.6094198822975159,15.199999809265137,6,1
1984,MT,Montana,64,0,820905,7.800000190734863,14203,-0.20900000631809235,1224258,1,580921,0,0.5829648971557617,0.30000001192092896,6,0
1984,NC,North Carolina,47,1,6164006,6.800000190734863,14105,0.6349999904632568,16499387,3,9461924,0,0.5193691253662109,8.800000190734863,12,1
1984,NE,Nebraska,35,0,1588639,4.400000095367432,14704,-0.14300000667572021,843393,0,583632,0,0.5196053981781006,19.200000762939453,6,0
1984,NH,New Hampshire,4,0,976864,4.300000190734863,14706,0.578000009059906,1683536,4,1066485,0,0.5892061591148376,17.799999237060547,6,1
1984,NJ,New Jersey,12,0,7515473,6.199999809265137,14702,-0.35199999809265137,4566758,2,956398,0,0.6478023529052734,3.9000000953674316,6,0
1984,NM,New Mexico,66,0,1416717,8,14103,0.2280000001192093,2618105,1,301661,0,0.7189688682556152,10.199999809265137,12,1
1984,OK,Oklahoma,53,0,3285533,7,14700,-0.08799999952316284,1080008,0,31360,0,0.7635276913642883,29.299999237060547,6,0
1984,OR,Oregon,72,0,2666588,9.399999618530273,11203,-0.019999999552965164,605557,1,255244,0,0.6655433773994446,4.300000190734863,18,1
1984,RI,Rhode Island,5,0,961894,5.599999904632568,10818,-0.3610000014305115,433436,0,162699,0,0.7255257368087769,4.400000095367432,24,0
1984,SC,South Carolina,48,1,3271868,6.699999809265137,9369,0.38999998569488525,1638467,0,11760,0,0.6774711608886719,8.399999618530273,28,1
1984,SD,South Dakota,37,0,697249,4.5,14268,0.2029999941587448,938709,0,166426,0,0.7449043989181519,19.5,6,1
1984,TN,Tennessee,54,1,4686737,9.300000190734863,11200,0.25600001215934753,NA,NA,NA,NA,NA,8,18,1
1984,TX,Texas,49,1,16007086,6.199999809265137,10823,0.4580000042915344,NA,NA,NA,NA,NA,23.5,24,1
1984,VA,Virginia,40,1,5643870,5.099999904632568,14712,0.22100000083446503,2786140,1,492201,0,0.7005274891853333,17.299999237060547,6,1
1984,WV,West Virginia,56,1,1927697,14.699999809265137,7722,-0.21799999475479126,NA,NA,NA,NA,NA,19.100000381469727,26,0
1984,WY,Wyoming,68,0,504896,6.300000190734863,14710,0.2750000059604645,702643,0,0,0,0.7831705212593079,32,6,1
1986,AK,Alaska,81,0,544268,11,14907,0.30399999022483826,1389056,0,412074,0,0.5505831241607666,NA,6,1
1986,AL,Alabama,41,1,3991569,9.100000381469727,14901,0.4490000009536743,4625428,4,2259167,0,0.49718499183654785,36.5,6,1
1986,AR,Arkansas,42,1,2331984,8.5,14300,-0.31299999356269836,1672432,0,939342,0,0.6228073239326477,13.800000190734863,12,0
1986,AZ,Arizona,61,0,3308262,6.900000095367432,3658,0.6079999804496765,NA,NA,NA,NA,NA,18.700000762939453,18,1
1986,CA,California,71,0,27102237,6.800000190734863,12103,-0.4090000092983246,11037707,4,11781316,0,0.5072941780090332,10.100000381469727,18,0
1986,CO,Colorado,62,0,3237450,7.5,14305,-0.4090000092983246,NA,NA,NA,NA,NA,16.299999237060547,12,0
1986,CT,Connecticut,1,0,3223740,3.799999952316284,14213,-0.3230000138282776,2276764,1,466894,0,0.650162935256958,2.5,6,0
1986,FL,Florida,43,1,11667505,5.900000095367432,14905,0.14900000393390656,6723729,3,6173663,0,0.4525984525680542,22.700000762939453,6,1
1986,GA,Georgia,44,1,6084666,5.900000095367432,14906,0.3070000112056732,5119249,4,2779297,0,0.49082982540130615,22.600000381469727,6,1
1986,HI,Hawaii,82,0,1051762,4.5,4812,-0.2980000078678131,1039920,0,31843,0,0.7356727719306946,NA,24,0
1986,IA,Iowa,31,0,2791970,6.800000190734863,14226,0.2759999930858612,2513319,0,255673,0,0.6629396677017212,21.399999618530273,6,1
1986,ID,Idaho,63,0,990224,8.100000381469727,14056,0.6620000004768372,3229939,3,2135528,0,0.5155644416809082,48.29999923706055,6,1
1986,IL,Illinois,21,0,11387257,8.300000190734863,14902,-0.15299999713897705,1928750,1,851305,0,0.6587114930152893,15.600000381469727,6,0
1986,IN,Indiana,22,0,5454108,6.800000190734863,14447,0.4429999887943268,1979561,0,127187,NA,0.6113247871398926,12,6,1
1986,KS,Kansas,32,0,2432619,5.400000095367432,10513,0.3190000057220459,1517585,0,0,0,0.7004927396774292,17.700000762939453,18,1
1986,KY,Kentucky,51,0,3687809,9.199999809265137,14302,-0.20000000298023224,1201624,0,58572,0,0.7440131306648254,15.699999809265137,12,0
